LIPID CATEGORY|LIPID CATEGORY|SUM COMPOSITION|INDIVIDUAL LIPID SPECIES |poner por niveles|FORMULA|MONOISOTOPIC MASS|RT|monoisotopic_mass_fixed|[M+H]+|[M+Na]+|[M+K]+|[M+NH4]+|[M+C2H7N2]+|[M+CH5O]+|[M+C2H8N]+|[2M+H]+|[2M+Na]+|[2M+K]+|[2M+NH4]+|[2M+Na+H]+|[M-H]-|[M+Cl]-|[M+CH3CO2]-|[M+CH2COONa]-|[M+C4H6O4Na]-|[M+C6H9O6Na2]-|[M+C8H12O8Na3]-|[M+HCO2]-|[M+COONa]-|[M+C3H4O4Na]-|[2M-H]-
||FA 26:0|C26:0||C26H52O2|396,3967|8,92|396.3967316692|397.40400812129997|419.3859523692|435.3598930892|414.43055721760004|455.4571063139|429.4302232497|442.46185734600004|793.8007397905|815.7826840384|831.7566247584|810.8272888867999|816.7905090705|395.38945521709996|431.36613024919995|455.4105853455|477.3925295934|537.4136597218001|619.4167340981|701.4198084744|441.3949352813|463.37687952920004|523.3980096576|791.7861868862999
||FA 28:7|C28:7||C28H42O2|410,3179|5,32|410.31848134819995|411.3257578003|433.3077020482|449.28164276819996|428.3523068966|469.3788559929|443.3519729287|456.383607025|821.6442391485|843.6261833963999|859.6001241163999|838.6707882448|844.6340084285|409.3112048961|445.2878799281999|469.3323350245|491.31427927240003|551.3354094008|633.3384837771|715.3415581534|455.3166849603|477.2986292082|537.3197593366|819.6296862442999
||FA 33:0|C33:0||C33H66O2|494,5063|12,83|494.5062821186|495.5135585707|517.4955028186|533.4694435386|512.540107667|553.5666567633001|527.5397736991|540.5714077954|990.0198406892999|1012.0017849372|1027.9757256572|1007.0463897856|1013.0096099693|493.49900566649995|529.4756806986|553.5201357948999|575.5020800428|635.5232101711999|717.5262845475|799.5293589237999|539.5044857307|561.4864299786|621.507560107|988.0052877850999
||FA 34:0|C34:0||C34H68O2|508,5219|13,04|508.5219321828|509.5292086349|531.5111528828|547.4850936028|526.5557577312|567.5823068275|541.5554237633|554.5870578596|1018.0511408177|1040.0330850656|1056.0070257856|1035.077689914|1041.0409100977|507.5146557307|543.4913307628|567.5357858591|589.517730107|649.5388602354001|731.5419346117001|813.5450089880001|553.5201357948999|575.5020800428|635.5232101711999|1016.0365879135
||FA 36:0|C36:0||C36H72O2|536,5532|13,49|536.5532323112|537.5605087633|559.5424530112|575.5163937312|554.5870578596|595.6136069559001|569.5867238917|582.618357988|1074.1137410745|1096.0956853224|1112.0696260424|1091.1402901708|1097.1035103545|535.5459558591|571.5226308911999|595.5670859874999|617.5490302354|677.5701603637999|759.5732347401|841.5763091163999|581.5514359233|603.5333801712|663.5545102996|1072.0991881703
FA|FA|CAR 10:0|CAR10:0||C17H33NO4|315,2435|0,96|315.2409600593|316.2482365114|338.2301807593|354.2041214793|333.27478560770004|374.30133470400006|348.2744516398|361.30608573610004|631.4891965707001|653.4711408186|669.4450815386|648.515745667|654.4789658507001|314.23368360719996|350.2103586393|374.2548137356|396.2367579835|456.2578881119|538.2609624882|620.2640368645|360.23916367140004|382.22110791930004|442.2422380477|629.4746436665
FA|FA|CAR 10:1|CAR10:1||C17H31NO4|313,2276|0,91|313.2253099951|314.2325864472|336.21453069510005|352.1884714151|331.25913554350007|372.2856846398001|346.25880157560005|359.2904356719|627.4578964423|649.4398406902001|665.4137814102|644.4844455386001|650.4476657223|312.218033543|348.1947085751|372.23916367140004|394.22110791930004|454.2422380477|536.2453124240001|618.2483868003001|358.2235136072|380.2054578551|440.2265879835|625.4433435381
FA|FA|CAR 11:0|CAR11:0||C18H35NO4|329,2580|0,98|329.2566101235|330.26388657560005|352.24583082350006|368.21977154350003|347.29043567190007|388.31698476820003|362.29010170400005|375.3217358003|659.5204966991001|681.5024409470001|697.476381667|676.5470457954001|682.5102659791002|328.24933367140005|364.22600870350004|388.27046379980004|410.25240804770004|470.27353817610003|552.2766125524|634.2796869287001|374.2548137356|396.2367579835|456.2578881119|657.5059437949001
FA|FA|CAR 11:1|CAR11:1||C18H33NO4|327,2428|0,95|327.24096005930005|328.2482365114001|350.2301807593001|366.20412147930006|345.27478560770004|386.30133470400006|360.2744516398001|373.30608573610004|655.4891965707001|677.4711408186001|693.4450815386001|672.515745667|678.4789658507001|326.2336836072|362.2103586393|386.2548137356|408.2367579835|468.2578881119|550.2609624882|632.2640368645|372.23916367140004|394.22110791930004|454.2422380477|653.4746436665
FA|FA|CAR 12:0|CAR12:0||C19H37NO4|343,2744|1,06|343.27226018770006|344.2795366398001|366.2614808877001|382.23542160770006|361.30608573610004|402.33263483240006|376.3057517682|389.33738586450005|687.5517968275001|709.5337410754001|725.5076817954001|704.5783459238|710.5415661075001|342.2649837356|378.2416587677001|402.286113864|424.2680581119|484.2891882403|566.2922626166|648.2953369929|388.27046379980004|410.25240804770004|470.27353817610003|685.5372439233001
FA|FA|CAR 12:1|CAR12:1||C19H35NO4|341,2560|0,98|341.2566101235|342.26388657560005|364.24583082350006|380.21977154350003|359.2904356719|400.31698476820003|374.29010170400005|387.3217358003|683.5204966991001|705.5024409470001|721.476381667|700.5470457954001|706.5102659791002|340.24933367140005|376.22600870350004|400.27046379980004|422.25240804770004|482.27353817610003|564.2766125524|646.2796869287001|386.2548137356|408.2367579835|468.2578881119|681.5059437949001
FA|FA|CAR 13:1|CAR13:1||C20H37NO4|355,2723|0,98|355.27226018770006|356.2795366398001|378.2614808877001|394.23542160770006|373.30608573610004|414.33263483240006|388.3057517682|401.33738586450005|711.5517968275001|733.5337410754001|749.5076817954001|728.5783459238|734.5415661075001|354.2649837356|390.2416587677001|414.286113864|436.2680581119|496.2891882403|578.2922626166|660.2953369929|400.27046379980004|422.25240804770004|482.27353817610003|709.5372439233001
FA|FA|CAR 14:1|CAR14:1||C21H39NO4|369,2889|1,07|369.28791025190003|370.29518670400006|392.27713095190006|408.25107167190004|387.3217358003|428.34828489660003|402.32140183240006|415.3530359287|739.5830969559001|761.5650412038001|777.5389819238001|756.6096460522001|762.5728662359002|368.28063379980006|404.2573088319|428.3017639282|450.28370817610005|510.30483830450004|592.3079126808001|674.3109870571|414.286113864|436.2680581119|496.2891882403|737.5685440517001
FA|FA|CAR 14:2|CAR14:2||C21H37NO4|367,2705|0,99|367.27226018770006|368.2795366398001|390.2614808877001|406.23542160770006|385.30608573610004|426.33263483240006|400.3057517682|413.33738586450005|735.5517968275001|757.5337410754001|773.5076817954001|752.5783459238|758.5415661075001|366.2649837356|402.2416587677001|426.286113864|448.2680581119|508.2891882403|590.2922626166|672.2953369929|412.27046379980004|434.25240804770004|494.27353817610003|733.5372439233001
FA|FA|CAR 16:0|CAR16:0||C23H45NO4|399,3392|2,39|399.33486044450007|400.34213689660004|422.3240811445001|438.2980218645001|417.36868599290005|458.39523508920007|432.36835202500004|445.3999861213|799.6769973411001|821.6589415890002|837.6328823090001|816.7035464374001|822.6667666211001|398.32758399240004|434.3042590245001|458.3487141208|480.3306583687|540.3517884971001|622.3548628734001|704.3579372497|444.3330640566|466.31500830450005|526.3361384329|797.6624444369
||CAR 16:1|CAR16:1||C23H43NO4|397,3195|1,80|397.31921038030004|398.32648683240006|420.30843108030007|436.28237180030004|415.3530359287|456.37958502500004|430.35270196080006|443.38433605710003|795.6456972127002|817.6276414606001|833.6015821806001|812.6722463090001|818.6354664927002|396.3119339282|432.28860896030005|456.3330640566|478.31500830450005|538.3361384329|620.3392128092|702.3422871855|442.3174139924|464.2993582403|524.3204883687|793.6311443085001
||CAR 18:1|CAR18:1||C25H47NO4|425,3505|2,57|425.35051050870004|426.35778696080007|448.3397312087001|464.31367192870005|443.38433605710003|484.41088515340005|458.38400208920007|471.41563618550003|851.7082974695002|873.6902417174001|889.6641824374001|868.7348465658001|874.6980667495002|424.3432340566|460.3199090887|484.364364185|506.34630843290006|566.3674385613|648.3705129376001|730.3735873139001|470.3487141208|492.3306583687|552.3517884971001|849.6937445653001
||CAR 2:0|CAR2:0||C9H17NO4|203,1146|0,73|203.1157595457|204.1230359978|226.1049802457|242.0789209657|221.1495850941|262.17613419040003|236.1492511262|249.1808852225|407.23879554350003|429.22073979140004|445.1946805114|424.2653446398|430.22856482350005|202.10848309359997|238.0851581257|262.129613222|284.11155746990005|344.1326875983|426.1357619746|508.1388363509|248.1139631578|270.0959074057|330.1170375341|405.2242426393
||CAR 4:0|CAR4:0||C11H21NO4|231,1471|0,79|231.14705967409998|232.1543361262|254.13628037409998|270.1102210941|249.1808852225|290.20743431880004|264.1805512546|277.21218535090003|463.3013958003|485.2833400482|501.25728076819996|480.3279448966|486.2911650803|230.13978322199998|266.11645825409994|290.1609133504|312.1428575983|372.1639877267|454.167062103|536.1701364793|276.1452632862|298.12720753409997|358.1483376625|461.2868428961
||CAR 5:0|CAR5:0||C12H23NO4|245,1620|0,81|245.16270973829998|246.1699861904|268.1519304383|284.1258711583|263.1965352867|304.223084383|278.19620131880004|291.2278354151|491.3326959287|513.3146401765999|529.2885808966|508.359245025|514.3224652087|244.15543328619998|280.13210831829997|304.17656341459997|326.1585076625|386.1796377909|468.1827121672|550.1857865435|290.1609133504|312.1428575983|372.1639877267|489.3181430245
||CAR 6:0|CAR6:0||C13H25NO4|259,1784|0,80|259.1783598025|260.1856362546|282.1675805025|298.1415212225|277.21218535090003|318.2387344472|292.211851383|305.24348547930003|519.3639960571|541.345940305|557.319881025|536.3905451534|542.3537653371001|258.1710833504|294.1477583825|318.1922134788|340.1741577267|400.1952878551|482.19836223140004|564.2014366077001|304.17656341459997|326.1585076625|386.1796377909|517.3494431529
||CAR 8:0|CAR8:0||C15H29NO4|287,2110|0,86|287.2096599309|288.216936383|310.1988806309|326.1728213509|305.24348547930003|346.27003457560005|320.2431515114|333.27478560770004|575.4265963139001|597.4085405618|613.3824812818|592.4531454102|598.4163655939001|286.2023834788|322.17905851089995|346.22351360719995|368.2054578551|428.2265879835|510.2296623598|592.2327367361002|332.20786354300003|354.1898077909|414.2109379193|573.4120434097
||CAR 8:1|CAR8:1||C15H27NO4|285,1944|0,83|285.1940098667|286.20128631880004|308.18323056670005|324.1571712867|303.2278354151|344.2543845114001|318.2275014472|331.25913554350007|571.3952961855|593.3772404334001|609.3511811534|588.4218452818001|594.3850654655|284.1867334146|320.16340844670003|344.20786354300003|366.1898077909|426.2109379193|508.21401229559996|590.2170866719|330.1922134788|352.1741577267|412.1952878551|569.3807432812999
||CAR 9:0|CAR9:0||C16H31NO4|301,2264|0,87|301.2253099951|302.2325864472|324.21453069510005|340.1884714151|319.2591355435|360.2856846398|334.2588015756|347.29043567190007|603.4578964423|625.4398406902001|641.4137814102|620.4844455386001|626.4476657223|300.218033543|336.1947085751|360.23916367140004|382.22110791930004|442.2422380477|524.2453124240001|606.2483868003001|346.22351360719995|368.2054578551|428.2265879835|601.4433435381
||CAR 9:1|CAR9:1||C16H29NO4|299,2097|0,85|299.2096599309|300.216936383|322.1988806309|338.1728213509|317.24348547930003|358.27003457560005|332.2431515114|345.27478560770004|599.4265963139001|621.4085405618|637.3824812818|616.4531454102|622.4163655939001|298.2023834788|334.17905851089995|358.2235136072|380.2054578551|440.2265879835|522.2296623598|604.2327367361002|344.20786354300003|366.1898077909|426.2109379193|597.4120434097
||CARNITINE|CARNITINE||C7H15NO3|161,1055|0,76|161.1051944815|162.1124709336|184.0944151815|200.0683559015|179.13902002990002|220.1655691262|194.138686062|207.1703201583|323.2176654151|345.19960966300005|361.173550383|340.24421451140006|346.2074346951|160.09791802939998|196.0745930615|220.11904815779997|242.1009924057|302.12212253409996|384.1251969104|466.1282712867|206.1033980936|228.08534234149997|288.10647246990004|321.2031125109
||CE 16:0|CE(16:0)||C43H76O2|624,5828|15,83|624.5845324396|625.5918088917|647.5737531396001|663.5476938596|642.618357988|683.6449070843|657.6180240200999|670.6496581163999|1250.1763413313|1272.1582855792|1288.1322262992|1267.2028904275999|1273.1661106113|623.5772559874999|659.5539310196|683.5983861159|705.5803303637999|765.6014604922|847.6045348685001|929.6076092448|669.5827360517|691.5646802996|751.5858104280001|1248.1617884271
||CE 16:1|CE(16:1)||C43H74O2|622,5571|14,94|622.5688823754|623.5761588275|645.5581030754|661.5320437954|640.6027079237999|681.6292570201|655.6023739559|668.6340080522|1246.1450412029|1268.1269854508|1284.1009261708|1263.1715902992|1269.1348104829|621.5616059233|657.5382809554|681.5827360517|703.5646802996|763.5858104280001|845.5888848043|927.5919591806|667.5670859874999|689.5490302354|749.5701603637999|1244.1304882987
||CE 16:3|CE(16:3)||C43H70O2|618,5376|11,87|618.5375822469999|619.5448586991|641.526802947|657.5007436669999|636.5714077954|677.5979568917|651.5710738275|664.6027079237999|1238.0824409461|1260.064385194|1276.0383259139999|1255.1089900424|1261.0722102261|617.5303057949|653.5069808269999|677.5514359233|699.5333801712|759.5545102996|841.5575846759001|923.5606590522|663.5357858591|685.5177301069999|745.5388602354001|1236.0678880419
||CE 18:1|CE(18:1)||C45H78O2|650,5953|15,77|650.6001825037999|651.6074589559|673.5894032038|689.5633439238|668.6340080522|709.6605571485001|683.6336740843|696.6653081805999|1302.2076414597|1324.1895857076|1340.1635264276|1319.234190556|1325.1974107397|649.5929060517|685.5695810837999|709.6140361800999|731.595980428|791.6171105563999|873.6201849327001|955.6232593090001|695.5983861159|717.5803303637999|777.6014604922|1300.1930885555
||CE 18:2|CE(18:2)||C45H76O2|648,5873|14,99|648.5845324396|649.5918088917|671.5737531396001|687.5476938596|666.618357988|707.6449070843|681.6180240200999|694.6496581163999|1298.1763413313|1320.1582855792|1336.1322262992|1315.2028904275999|1321.1661106113|647.5772559874999|683.5539310196|707.5983861159|729.5803303637999|789.6014604922|871.6045348685001|953.6076092448|693.5827360517|715.5646802996|775.5858104280001|1296.1617884271
||CE 18:3|CE(18:3)||C45H74O2|646,5660|14,42|646.5688823754|647.5761588275|669.5581030754|685.5320437954|664.6027079237999|705.6292570201|679.6023739559|692.6340080522|1294.1450412029|1316.1269854508|1332.1009261708|1311.1715902992|1317.1348104829|645.5616059233|681.5382809554|705.5827360517|727.5646802996|787.5858104280001|869.5888848043|951.5919591806|691.5670859874999|713.5490302354|773.5701603637999|1292.1304882987
